Classes,Definition,Questions
NUMERIC,count,How many frames does a disk camera shoot ?
ENTITY,other entity,What are the 7 Wonders of the World ?
NUMERIC,date,When did Theo Rousseau paint the `` Forest of Fontaine '' ?
NUMERIC,count,How many people have been Captain America ?
DESCRIPTION,definition,What is meant by the term `` yield to maturity '' in reference to bonds ?
ENTITY,food,"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?"
DESCRIPTION,manner,How did the war of 1812 affect Delaware ?
ENTITY,body,Where is the human skin least sensitive ?
HUMAN,ind,"What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?"
ENTITY,other entity,What is the biggest `` thing '' humans have made ?
LOCATION,other loc,What are all the rivers in Europe ?
HUMAN,ind,Who won the Superbowl in ?
ENTITY,other entity,What five cards make up a perfect Cribbage hand ?
NUMERIC,date,In what year was Gandhi assassinated ?
NUMERIC,period,What is the time it takes a typist to type a screenplay that is 100 pages long ?
ENTITY,animal,What is the full classification of a lady bug ?
HUMAN,ind,What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?
NUMERIC,count,How many pairs of wings does a tsetse fly have ?
ENTITY,other entity,What was the name of the peace agreement imposed on Germany after World War I ?
LOCATION,country,What 's the fifth-largest country in the world ?
DESCRIPTION,manner,How do you box train a cat ?
DESCRIPTION,manner,How was Teddy Roosevelt related to FDR ?
ENTITY,creative,What newspaper serves Salt Lake City ?
NUMERIC,date,The film `` Jaws '' was made in what year ?
DESCRIPTION,manner,How does lightning travel ?
ENTITY,food,What spice do chefs pay the most for ?
HUMAN,ind,Who directed Citizen Kane ?
DESCRIPTION,definition,What is troilism ?
ENTITY,vehicle,What was the sister ship of the Olympic ?
HUMAN,ind,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?
ABBREVIATION,exp,What is HTML ?
DESCRIPTION,manner,How do you identify prime numbers ?
HUMAN,ind,"Whose special bear 's creator was born on January 18 , 1779 ?"
HUMAN,group,What high school does Archie attend ?
ENTITY,animal,What animal migrates the farthest ?
ENTITY,creative,What film was based on the play Everybody Comes to Rick 's ?
DESCRIPTION,reason,Why do we call someone `` honey '' ?
ENTITY,food,Madonna hocks which soft drink ?
HUMAN,group,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?
LOCATION,country,In what country is Lund ?
ENTITY,creative,What 's the sequel to Alice 's Adventures in Wonderland ?
LOCATION,city,What is the capital of Seattle ?
HUMAN,ind,What Italian leader had a lifelong fear of the evil eye ?
LOCATION,city,What city in Florida is Sea World in ?
HUMAN,ind,Who said : `` What contemptible scoundrel stole the cork from my lunch ? ''
DESCRIPTION,definition,What 's a water funnel ?
ENTITY,dismed,What is a fear of worms ?
DESCRIPTION,definition,What is a Chinese `` spouting '' bowl ?
DESCRIPTION,description of st,What does an emperor do ?
HUMAN,ind,What president kissed the Queen Mother on the lips ?
LOCATION,other loc,Where does the tennis star Stefan Edberg come from ?
LOCATION,other loc,What continent pushes up the Executive Committee mountain range ?
DESCRIPTION,manner,How do they raise the cranes when building high-rise buildings ?
DESCRIPTION,reason,"What was Al Capone finally imprisoned for , in 1931 ?"
ENTITY,food,What food can I use to catch a possum ?
HUMAN,ind,What was Al Capone 's nickname ?
HUMAN,ind,Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?
LOCATION,city,What is the largest city in Germany ?
ENTITY,dismed,What is a fear of cholera ?
LOCATION,other loc,What park contains Firehole River and Fairy Falls ?
LOCATION,other loc,What 's the largest island in the West Indies ?
LOCATION,state,What New England state carries the telephone area code 27 ?
ENTITY,other entity,What is an example of a natural acid-base indicator ?
LOCATION,other loc,In what county is Eckley Colorado ?
DESCRIPTION,manner,How do I find info about rice importers in the world ?
NUMERIC,money,"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?"
DESCRIPTION,description of st,What is the song Stairway to Heaven by Led Zeppelin about ?
DESCRIPTION,manner,How does hair curl ?
ENTITY,other entity,What are pushed and coupled in hump yards ?
NUMERIC,period,How long do hermit crabs live ?
LOCATION,city,What city hosted the first Winter Olympics in Asia ?
DESCRIPTION,description of st,What is the origin of the first name ` Breony ' ?
NUMERIC,date,What month were you born in if your birthstone is sardonyx ?
HUMAN,ind,Who is behind the name of the Harvey Wallbanger drink ?
DESCRIPTION,description of st,What is the origin of `` Beauty is in the eye of the beholder '' ?
ENTITY,food,"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?"
ENTITY,creative,What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?
ENTITY,food,Madonna advertises for what soft drink ?
ABBREVIATION,exp,What does A&W of root beer fame stand for ?
ENTITY,term,What tennis term is said to come from the French word for egg ?
ENTITY,other entity,What does a collier mine ?
NUMERIC,money,How much money can a person be fined for having a dog on a beach ?
LOCATION,country,"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?"
ENTITY,event,What are the ages in comic book lingo ?
ENTITY,animal,What kinds of animals are in Cambodia ?
HUMAN,group,What South African producer had a 1988 profit of $836 million ?
HUMAN,ind,What American actress was the first to be called a `` vamp '' ?
DESCRIPTION,definition,What do the 12 days of Christmas mean ?
ENTITY,creative,"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?"
NUMERIC,date,What date did man first land on the moon ?
LOCATION,other loc,Where are the headquarters of Eli Lilly ?
NUMERIC,count,How many web servers are there ?
DESCRIPTION,description of st,What 's the last line of Dickens 's A Christmas Carol ?
NUMERIC,count,How many trees go into paper making in a year ?
LOCATION,other loc,Where can I find info on research being done on oilseeds thru genetics ?
DESCRIPTION,reason,How come light bulbs go out ?
DESCRIPTION,reason,For what reason did the Shea & Gould law firm close their L.A. office ?
NUMERIC,distance,How far out is the universe ?
DESCRIPTION,description of st,What is the difference between a bottle and a jar ?
ENTITY,dismed,What disease is the second-biggest killer of North Americans ?
LOCATION,other loc,Where did the Mayan Indians live ?
LOCATION,other loc,Where was Poe born ?
DESCRIPTION,description of st,What happens to the female body with lack of sleep and food ?
ENTITY,dismed,What is a fear of crystals or glass ?
ENTITY,product,Name a product that controls the ripening of apples .
NUMERIC,count,How many warmup pitches does a reliever get coming into a baseball game ?
LOCATION,other loc,Where did Dylan Thomas die ?
ENTITY,animal,What common livestock have the greatest variety of breeds ?
ENTITY,creative,What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?
ENTITY,dismed,What disease did August von Wassermann develop a specific test for in 196 ?
HUMAN,group,What card company sells Christmas ornaments ?
DESCRIPTION,manner,How do I find out what cities are in a certain area code ?
ENTITY,other entity,What can communications satellites offer yachts ?
NUMERIC,count,How many Fig Newtons are there to the pound ?
HUMAN,ind,Who is the premier of China ?
HUMAN,ind,What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?
NUMERIC,count,How many bones are there in the human hand ?
HUMAN,group,What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?
HUMAN,ind,Who was the president of Vichy France ?
HUMAN,ind,Whose kidnaping was termed The Crime of the Century ?
DESCRIPTION,definition,What is hydrogen ?
HUMAN,group,What group asked the musical question Do You Believe in Magic ?
LOCATION,other loc,What was the tallest building in America in 1922 ?
HUMAN,ind,What buxom blonde appeared on the cover of more than 5 magazines ?
DESCRIPTION,definition,What is recruitment interview technique ?
DESCRIPTION,manner,How does a hurricane form ?
DESCRIPTION,definition,What does the donation process entail ?
NUMERIC,distance,How far is it from Phoenix to Blythe ?
LOCATION,city,What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?
NUMERIC,count,How many people watch network television ?
ENTITY,product,"What garment was named for Bradley , Voorhees and Day ?"
HUMAN,ind,Who first broke the sound barrier ?
DESCRIPTION,manner,How do birds have sex ?
NUMERIC,count,How many horses are there on a polo team ?
ENTITY,other entity,What 's destroyed in Genesis 19 : 24 ?
ENTITY,event,What new year is celebrated on February 16th ?
DESCRIPTION,definition,What is Occam 's Razor ?
LOCATION,other loc,Where do the Grimace and Mayor McCheese live ?
NUMERIC,period,How long does it take to hike the entire Appalachian Trail ?
HUMAN,ind,What role do fruits play in the survival of plants ?
LOCATION,other loc,Where is the world championship sled dog race held each February ?
DESCRIPTION,reason,What are the medical purposes of `` clitoridectomy '' ?
DESCRIPTION,definition,How is thalassemia defined ?
ENTITY,creative,What 's the name of the Tampa newspaper ?
DESCRIPTION,definition,What is a storm surge ?
DESCRIPTION,manner,How do you use `` farther '' as opposed to `` further '' ?
ENTITY,other entity,What was the alternate to VHS ?
ENTITY,lang,What is one of the languages of the Sioux ?
HUMAN,ind,What Pulitzer Prize-winning novelist ran for mayor of New York City ?
NUMERIC,count,How many times can a nickel-cadmium rechargeable battery be recharged ?
DESCRIPTION,manner,How is cologne made ?
ENTITY,food,What was the food of the Greek gods called ?
DESCRIPTION,definition,What does camera-ready art mean ?
NUMERIC,count,How many seats does the Batmobile sport ?
NUMERIC,count,How many cards are dealt to each player in Gin Rummy ?
DESCRIPTION,description of st,What happened to Phillip Taylor Kramer ?
ENTITY,creative,What Erica Jong novel deals with Isadora Wing 's fear ?
NUMERIC,date,What time of year do most people fly ?
HUMAN,ind,Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?
DESCRIPTION,description of st,What is the origin of the Christmas tree ?
NUMERIC,date,When is the Thai New Year ?
ENTITY,sport,What four tournaments make up tennis ' Grand Slam ?
ENTITY,creative,What 1964 film introduced the song My Kind of Town ?
HUMAN,ind,Who recorded the 1957 hit Tammy ?
ENTITY,term,What is the term for the side of the mountain that faces the prevailing winds ?
ENTITY,other entity,"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?"
ENTITY,term,What does caliente translate to in English ?
HUMAN,ind,Who is Mia Farrow 's mother ?
DESCRIPTION,manner,How do you determine if a computer monitor has an SVGA adapter ?
NUMERIC,distance,How far can a human eye see ?
NUMERIC,date,What time of year has the most air travel ?
DESCRIPTION,definition,What does the term `` spaghetti western '' mean ?
NUMERIC,date,When was the G7 group of nations formed ?
DESCRIPTION,description of st,What are differences between 1980 and 1990 ?
HUMAN,ind,What baseball player was walked the most times ?
HUMAN,ind,What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?
ENTITY,food,What were the first frozen foods ?
DESCRIPTION,reason,Why is Indiglo called Indiglo ?
ENTITY,word,What is the word for love of pain or abuse ?
NUMERIC,date,When did they canonize the Bible ?
HUMAN,ind,Who was the only president to serve two nonconsecutive terms ?
NUMERIC,perc,What percentage of all world tornados touch down in the US ?
HUMAN,ind,What labor leader was last seen in the parking lot of a Michigan restaurant ?
NUMERIC,date,When did the Carolingian period begin ?
DESCRIPTION,description of st,What motto ended Merrie Melodies cartoons ?
HUMAN,ind,Who reports the weather on the `` Good Morning America '' television show ?
NUMERIC,count,How many emperors were there in the Roman Empire ?
HUMAN,ind,What was the name of `` The Muppets '' creator ?
DESCRIPTION,definition,What is Cabarnet Sauvignon ?
DESCRIPTION,definition,What is a virtual IP address ?
ENTITY,animal,What 's the name of the tiger that advertises for Frosted Flakes cereal ?
HUMAN,ind,"Who sent the brief message `` I came , I saw , I conquered '' ?"
ENTITY,color,What color is Mr. Spock 's blood ?
HUMAN,ind,What U.S. Air Force general led the first bombing raid over Tokyo ?
HUMAN,ind,What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?
HUMAN,ind,"What was the name of the first Watergate special prosecutor , later fired by Nixon ?"
DESCRIPTION,manner,How do movie blues screens work ?
DESCRIPTION,manner,How does the speed the magnet spins in a generator affect the output of the generator ?
HUMAN,group,What 's the supreme policy-making bureau of the Soviet Communist Party ?
DESCRIPTION,definition,What was the Vietnam War ?
DESCRIPTION,definition,What is La Nina ?
DESCRIPTION,reason,Why did the Globe Theatre burn down ?
NUMERIC,date,On what day were John F and Jackie Kennedy married ?
ENTITY,creative,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?"
DESCRIPTION,definition,What is meant by blood SED rate ?
HUMAN,group,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?
HUMAN,ind,Who won a Pulitzer Prize for his novel The Caine Mutiny ?
ENTITY,techmeth,What 's the best way to lose the flab under your chin and around your face ?
LOCATION,other loc,Where is your corpus callosum ?
ENTITY,creative,"What Broadway musical featured the song , `` If I were a rich man ? ''"
HUMAN,ind,Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?
DESCRIPTION,reason,Why is the development of space so important ?
DESCRIPTION,description of st,What is the nursery rhyme Rock-a-by Baby about ?
LOCATION,other loc,"When Superman needs to get away from it all , where does he go ?"
NUMERIC,period,How old is singer Freedy Johnston ?
DESCRIPTION,description of st,What is the origin of gametophytic tissue ?
DESCRIPTION,definition,What does Aaron mean ?
ENTITY,dismed,What is a fear of hair ?
HUMAN,ind,What is the name of the pop singer whose song became the theme song for a brand of catsup ?
DESCRIPTION,definition,What is a conifer ?
HUMAN,ind,Who claimed to be the world 's most perfectly-developed man ?
DESCRIPTION,description of st,What is different about the red and black fox ?
DESCRIPTION,definition,What is e-commerce ?
DESCRIPTION,manner,How do I tie a tie ?
LOCATION,other loc,Where can I get cotton textiles importer details ?
NUMERIC,date,When did Spain and Korea start ambassadorial relations ?
HUMAN,group,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?
DESCRIPTION,definition,What is chromatology ?
NUMERIC,count,How many grooves are on a dime 's edge ?
DESCRIPTION,manner,How was the ACLU formed ?
ENTITY,creative,What are the most albums sold by one artist or band ?
ENTITY,sport,The second most popular sport worldwide is what ?
ENTITY,other entity,What do goldfish lose if kept in dimly-lit or running water ?
LOCATION,other loc,What canal does the Thatcher Ferry Bridge span ?
HUMAN,ind,What American won the world Grand Prix driving championship in 1978 ?
NUMERIC,perc,What are the chances of pregnacy if the penis does not penetrate the vagina ?
ENTITY,other entity,What 's the highest hand in straight poker ?
LOCATION,other loc,Where can I find a lesson plan for teaching the metric system conversion to American standard ?
ENTITY,creative,What is the name of Kevin Costner 's movie about Sioux Indians ?
DESCRIPTION,definition,"What are Kythnos , Siphnos , Seriphos and Mykonos ?"
HUMAN,ind,Name a female figure skater .
DESCRIPTION,reason,Why are there no white lines on pro footballs ?
NUMERIC,period,How long would it take for a $ savings bond to mature ?
DESCRIPTION,manner,How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?
ENTITY,other entity,What did the Congress of Vienna establish ?
NUMERIC,money,What is the average cost for four years of medical school ?
ENTITY,substance,What harmful chemicals are in bug spray ?
NUMERIC,count,How many spears are there on Kenya 's flag ?
DESCRIPTION,description of st,What did Mighty Mouse always sing as he went into action ?
LOCATION,other loc,Where did George of the Jungle live ?
DESCRIPTION,manner,How did Bob Marley die ?
NUMERIC,other num,What 's men 's par on a 455-yard golf hole ?
NUMERIC,perc,What percentage of American men are alcoholic ?
NUMERIC,money,"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?"
NUMERIC,count,"In South Korea , how many American Soldiers are there ?"
HUMAN,ind,Who portrayed Carl Bernstein in All the President 's Men ?
NUMERIC,other num,What are the numbers that fit into Fermont 's last theorem ?
HUMAN,ind,Who was Tiny Tim 's father ?
ENTITY,other entity,What does a heliologist study ?
HUMAN,ind,Who was Bonnie Blue Butler 's father ?
ENTITY,product,"What shampoo prevents eczema , seborrhea , and psoriasis ?"
NUMERIC,count,How many Americans have HIV ?
LOCATION,other loc,Where do I find information for foreclosure properties on the Internet ?
HUMAN,ind,Who is the Antichrist ?
ENTITY,creative,What was the first English play written exclusively for children ?
LOCATION,country,Which Latin American country is the largest ?
LOCATION,other loc,What was the former residence of Scottish kings in Edinburgh ?
NUMERIC,count,How many teats does a female goat sport ?
NUMERIC,distance,How tall is kilamanjaro ?
HUMAN,ind,Who was the lawyer who represented Randy Steven Craft ?
LOCATION,country,What country buys 25 percent of the world 's tea exports ?
LOCATION,country,What country is the origin of the band the Creeps ?
ENTITY,other entity,What did the crocodile swallow in Peter Pan ?
DESCRIPTION,description of st,What is the origin of the word `` mushroom '' ?
HUMAN,ind,Which of the following celebrities was not born in Philadelphia ?
NUMERIC,other num,What is the number of American soldiers deployed to South Korea ?
LOCATION,other loc,Where is the biggest bell ?
ENTITY,product,What is the brand name of the chemical daminozide ?
DESCRIPTION,manner,How do microwaves work ?
ENTITY,creative,What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?
NUMERIC,count,What is the estimated total U.S. whitetail deer population ?
HUMAN,ind,Who wrote the Farmer 's Almanac ?
ENTITY,animal,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?"
NUMERIC,other num,What number is at 12 o 'clock on a dartboard ?
HUMAN,group,Which team won the Super Bowl in 1968 ?
DESCRIPTION,description of st,What is the recommended daily requirement for folic acid for pregnant women ?
ENTITY,creative,What film dramatized the Scopes monkey trial ?
HUMAN,ind,CNN is owned by whom ?
LOCATION,country,What country offered Albert Einstein its presidency in 1952 ?
DESCRIPTION,definition,What is the HIGHEST Roman numeral ?
ENTITY,creative,"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?"
HUMAN,ind,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?
DESCRIPTION,manner,How is digital audio used ?
ABBREVIATION,exp,What is AFS ?
HUMAN,description human,Who was Quetzalcoatl ?
ENTITY,product,What operating system do IBM-compatible machines use ?
HUMAN,ind,What French leader sold Louisiana to the United States ?
LOCATION,other loc,"What bay sparkles next to Miami , Florida ?"
NUMERIC,count,How many miles of veins are in the circulatory system ?
LOCATION,other loc,What famed river flows through Bagdad ?
DESCRIPTION,manner,How is bubble wrap made ?
DESCRIPTION,definition,What is Java ?
HUMAN,ind,Who is the prime minister of Japan ?
HUMAN,ind,What player squats an average of 3 times during a baseball doubleheader ?
HUMAN,ind,What 's the most common name in nursery rhymes ?
NUMERIC,count,How many `` No '' answers was the What 's My Line ? panel allowed ?
NUMERIC,money,What is the fine for having a dog on a beach ?
HUMAN,ind,"Who wrote the book , `` Song of Solomon '' ?"
LOCATION,other loc,"Where can one find information on religion and health , the brain and nutrition ?"
HUMAN,ind,Name the Ranger who was always after Yogi Bear .
ENTITY,creative,What TV show did John Sebastian sing the theme for ?
HUMAN,ind,Who is the president of the Spanish government ?
HUMAN,ind,Who holds the career record for the most major league home runs ?
HUMAN,ind,Which of the following actors worked in New York 's Yiddish Theater ?
HUMAN,ind,Who invented the stethoscope ?
DESCRIPTION,definition,What is a mathematical factor ?
NUMERIC,count,How many four star generals were there and who are they ?
NUMERIC,date,When did Nixon die ?
ENTITY,term,What was originally defined as one 1-millionth of the distance from the equator to the Pole ?
HUMAN,ind,What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?
NUMERIC,count,How many members are in the California congressional delegation ?
LOCATION,other loc,What erupts every hour at Yellowstone National Park ?
LOCATION,country,What country contains the highest point in South America ?
HUMAN,ind,What are Arnold Palmer 's fans called ?
HUMAN,ind,Who retired with 755 home runs to his credit ?
LOCATION,other loc,What constellation represents a hunter with club and shield ?
HUMAN,ind,Who developed potlatch ?
NUMERIC,period,How long did Shea and Gould practice law in Los Angeles ?
NUMERIC,other num,What 's a perfect score in a gymnastics exercise ?
HUMAN,group,"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?"
DESCRIPTION,reason,What made Jane Goodall famous ?
NUMERIC,period,At what age did Rossini stop writing opera ?
LOCATION,city,What Russian seaport has a name meaning `` Lord of the East '' ?
HUMAN,ind,Name the two actress daughters of John Mills .
NUMERIC,period,How old was Gene Siskel ?
DESCRIPTION,description of st,What can be done about snoring ?
LOCATION,mount,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?
HUMAN,ind,Who is the actress Bette Davis once said she wished she looked like ?
HUMAN,ind,Who portrayed The Cowardly Lion in The Wizard of Oz ?
ENTITY,dismed,What does a chiropodist treat ?
DESCRIPTION,definition,What is porphyria ?
LOCATION,other loc,What gate opened on East and West Berlin ?
HUMAN,ind,Who was the first king of England ?
DESCRIPTION,reason,What made the Finger Lakes in western New York state ?
ENTITY,creative,In what movie is the number nine found in the title ?
NUMERIC,count,How many calories are there in soy sauce ?
HUMAN,ind,Who killed Kurt Cobain ?
HUMAN,ind,Who created the monster in Mary Shelley 's novel Frankenstein ?
LOCATION,other loc,What 's the farthest planet from the sun ?
DESCRIPTION,reason,Why does the sun shine only a short time in Alaska ?
ENTITY,dismed,What chemical in red wine is good for the heart and what exactly does it do to your body ?
DESCRIPTION,manner,How does blood clot ?
NUMERIC,volsize,How big is our galaxy in diameter ?
ENTITY,product,"What product `` doubles your pleasure , doubles your fun '' ?"
NUMERIC,date,When is a woman most fertile ?
HUMAN,ind,What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?
HUMAN,ind,Who was the first man to return to space ?
ENTITY,product,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?
HUMAN,ind,Who gave Abbie Hoffman his first dose of LSD ?
DESCRIPTION,description of st,What effect does friction have on perpetual motion ?
HUMAN,title,What did the Seven Dwarfs do for a living ?
HUMAN,ind,What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?
HUMAN,ind,Who shot Billy the Kid ?
DESCRIPTION,description of st,What is he doing now ?
HUMAN,ind,What Mormon leader was said to have had 27 wives ?
ENTITY,other entity,What video format was an alternative to VHS ?
DESCRIPTION,description of st,Where did the term `` 69 '' come from ?
ENTITY,substance,What is money made of ?
LOCATION,other loc,What 's the name of a hotel in Indianapolis ?
NUMERIC,count,How many people in Tucson ?
LOCATION,other loc,Where is Melbourne ?
HUMAN,ind,With whom did Bush compare Saddam Hussein ?
LOCATION,country,What country was Mikhail Gorbachev the leader of ?
NUMERIC,weight,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?"
HUMAN,ind,What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?
LOCATION,other loc,What is the largest county in size in Massachusetts ?
HUMAN,ind,What is the name of the brilliant British economist behind its creation ?
HUMAN,ind,Who played Sally Rogers on The Dick Van Dyke Show ?
DESCRIPTION,description of st,What is it like to experience a near death episode ?
HUMAN,ind,What mythical figure carries an hourglass and a scythe ?
NUMERIC,money,How much is a Canadian 1967 twenty dollar gold coin worth ?
DESCRIPTION,reason,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?
LOCATION,other loc,What natural attractions draw the most visitors in the United States ?
HUMAN,group,What presidential administration challenged Americans to explore The New Frontier ?
NUMERIC,count,How many years did Sleeping Beauty sleep ?
NUMERIC,period,How long does it take for your body to restore blood after you donate your blood ?
DESCRIPTION,manner,How do I know someone is truly in love with me ?
ENTITY,food,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?
DESCRIPTION,definition,What is literary criticism ?
DESCRIPTION,manner,How do you throw a housewarming party ?
ENTITY,sport,What international sport was originally called hurley ?
LOCATION,other loc,What river runs through Liverpool ?
HUMAN,ind,What famous British actor lost his voice after an operation in 1966 ?
DESCRIPTION,definition,What does the term 3 mean to a newspaper editor ?
HUMAN,group,What company makes impulse hardening equipment ?
LOCATION,country,What country was Kim Philby really working for ?
DESCRIPTION,description of st,What does Freddy Freeman say to become Captain Marvel Jr. ?
LOCATION,country,What country was Hitler the chancellor of ?
HUMAN,ind,What is Rona Barrett 's married name ?
NUMERIC,count,How many years make up a lustrum ?
ENTITY,other entity,What are close encounters of the first and second kind ?
HUMAN,ind,Who is the mathematician that won the Noble Prize for Literature in 1950 ?
HUMAN,ind,Which glamorous actress is a close friend of Dick Tracy ?
ENTITY,creative,What 1956 Grace Metalious novel was on the best-seller list for two years ?
HUMAN,group,Name the three races unleashed by the Celestials in Marvel comics .
NUMERIC,period,How old is the Italian artist Maurizio Pellegrin ?
HUMAN,ind,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?"
DESCRIPTION,description of st,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?
LOCATION,city,What North American city would you visit to see Cleopatra 's Needle ?
NUMERIC,date,When was the NFL established ?
LOCATION,other loc,Where can I find an Ask An Expert site ?
HUMAN,ind,What writer-journalist made his mark describing colorful Broadway and underworld characters ?
LOCATION,state,What U.S. state has the lowest highest elevation at 6 feet ?
HUMAN,group,What are the residents of the island of Lesbos called ?
ENTITY,other entity,What is the organizational structure of the New Delhi Indira Gandhi airport ?
ENTITY,other entity,"At Christmas time , what is the traditional thing to do under the mistletoe ?"
HUMAN,ind,What baseball great plugged Mr. Coffee ?
ENTITY,sport,What international amateur sports spectacle was first telecast in 1956 ?
DESCRIPTION,description of st,What is the origin of the word `` amen '' ?
HUMAN,ind,Who 's baby was Sweet Pea on the Popeye cartoon ?
LOCATION,other loc,Where is Mile High Stadium ?
ENTITY,other entity,"What were Baffin , Frobisher and Franklin looking for ?"
DESCRIPTION,definition,What is limbo ?
LOCATION,city,What city contains the district of Hell 's Kitchen ?
ENTITY,techmeth,What interesting method was used to run the credits in the early Popeye cartoons ?
ENTITY,substance,What are the stars made of ?
HUMAN,ind,"What English physician was born on January 18 , 1779 and went on to create two important inventions ?"
HUMAN,ind,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?"
NUMERIC,speed,How fast must a spacecraft travel to escape Earth 's gravity ?
HUMAN,ind,What apostle is Taylor Caldwell 's Great Lion of God ?
NUMERIC,count,How many rings are there on a five-zone archery target ?
ENTITY,dismed,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?"
ENTITY,substance,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?"
DESCRIPTION,definition,What is a tonne ?
LOCATION,other loc,Which one of the Great Lakes is entirely within U.S. territory ?
ABBREVIATION,exp,What is DEET ?
HUMAN,group,What company sells the most greeting cards ?
LOCATION,state,What U.S. state has sagebrush as its state flower ?
DESCRIPTION,definition,What is the Bernoulli Principle ?
HUMAN,ind,What 's comic strip photographer Peter Parker 's secret identity ?
DESCRIPTION,description of st,What is difference between a poster and a print ?
ENTITY,sport,In which sport is there a `` scrum '' ?
ENTITY,techmeth,What are the best ways to improve employee morale at low cost ?
LOCATION,country,What nationality is Pope John Paul II ?
DESCRIPTION,definition,What is false consciousness ?
DESCRIPTION,manner,How did the Great Depression affect Japan 's history ?
ENTITY,other entity,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?
LOCATION,other loc,Where are some great educational resources for parents and teachers ?
NUMERIC,count,How many Israeli athletes were killed at the Munich Olympics ?
ENTITY,term,What is the Scotch `` for people who know the difference '' ?
NUMERIC,date,When was Richard Nixon born ?
LOCATION,other loc,What New York City landmark has 168 steps to its crown ?
LOCATION,other loc,Where is the Bulls basketball team based ?
NUMERIC,period,What is the recomended age to switch a child from a crib to a bed ?
HUMAN,ind,Which Rockefeller was sometimes called `` JDR3 '' ?
NUMERIC,date,When is the Sun closest to the Earth ?
DESCRIPTION,description of st,What are some chemical properties of mendelevium ?
NUMERIC,count,What is the average hours per months spent online by AOL users ?
HUMAN,ind,Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?
DESCRIPTION,description of st,What is the origin of the word `` sideburns '' ?
ENTITY,event,The trials resulting from World War II are known as what ?
ENTITY,event,What started in 1849 when gold was discovered at Sutter 's Mill ?
DESCRIPTION,definition,What is a First World country ?
HUMAN,ind,Who was Shakespeare 's Moorish general ?
LOCATION,mount,What 's the second-highest mountain in the world ?
LOCATION,country,What country was Erich Honecker the leader of ?
DESCRIPTION,manner,How does salt melt ice and snow ?
LOCATION,city,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?"
DESCRIPTION,definition,What does laser stand for ?
HUMAN,ind,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?
LOCATION,other loc,Where did Wile E. Coyote always get his devices ?
NUMERIC,distance,How far away is the moon ?
HUMAN,ind,What famous film and TV cowboy lent his name to a fast food chain ?
DESCRIPTION,definition,What is mandibulofacial dysostosis ?
